timestamp;wipingCmd;WiperMotorAngle;WiperMotorSpeed;wiperMotorLowSpeedOut;wiperMotorHighSpeedOut;Wiping_HMI_rqst;wiperParkStatusIn;wiperParkStatusOut;wiperMotorLowSpeed;Digital_WiperHi;Digital_WiperLo;bWiperMotorLowSpeed;WiperMotorHighSpeed
1581;;122.040.000;;;;;;;;;;;
1583;;122.400.000;;;;;;;;;;;
1585;;122.760.000;;;;;;;;;;;
1587;;123.120.000;;;;;;;;;;;
1589;;123.480.000;;;;;;;;;;;
1591;;123.840.000;;;;;;;;;;;
1593;;124.200.000;;;;;;;;;;;
1595;;124.560.000;;;;;;;;;;;
1597;;124.920.000;;;;;;;;;;;
1599;;125.280.000;;;;;;;0;;;;
1601;;125.640.000;;0;;;;;;;;;
1603;;126.000.000;0.000000;;;;;;;;;;
1899;;;;;;4;;;;;;;
1999;;;;;;;;;;;1;;
2099;;;;;;;;;1;;;;
2101;;;;1;;;;;;;;;
2103;;;30.000.000;;;;;;;;;;
2105;;126.360.000;;;;;;;;;;;
2107;;126.720.000;;;;;;;;;;;
2109;;127.080.000;;;;;;;;;;;
2111;;127.440.000;;;;;;;;;;;
2113;;127.800.000;;;;;;;;;;;
2115;;128.160.000;;;;;;;;;;;
2117;;128.520.000;;;;;;;;;;;
2119;;128.880.000;;;;;;;;;;;
2121;;129.240.000;;;;;;;;;;;
2123;;129.600.000;;;;;;;;;;;
2125;;129.960.000;;;;;;;;;;;
2127;;130.320.000;;;;;;;;;;;
2129;;130.680.000;;;;;;;;;;;
2131;;131.040.000;;;;;;;;;;;
2133;;131.400.000;;;;;;;;;;;
2135;;131.760.000;;;;;;;;;;;
2137;;132.120.000;;;;;;;;;;;
2139;;132.480.000;;;;;;;;;;;
2141;;132.840.000;;;;;;;;;;;
2143;;133.200.000;;;;;;;;;;;
2145;;133.560.000;;;;;;;;;;;
2147;;133.920.000;;;;;;;;;;;
2149;;134.280.000;;;;;;;;;;;
2151;;134.640.000;;;;;;;;;;;
2153;;135.000.000;;;;;;;;;;;
2155;;135.360.000;;;;;;;;;;;
2157;;135.720.000;;;;;;;;;;;
2159;;136.080.000;;;;;;;;;;;
2161;;136.440.000;;;;;;;;;;;
2163;;136.800.000;;;;;;;;;;;
2165;;137.160.000;;;;;;;;;;;
2167;;137.520.000;;;;;;;;;;;
2169;;137.880.000;;;;;;;;;;;
2171;;138.240.000;;;;;;;;;;;
2173;;138.600.000;;;;;;;;;;;
2175;;138.960.000;;;;;;;;;;;
2177;;139.320.000;;;;;;;;;;;
2179;;139.680.000;;;;;;;;;;;
2181;;140.040.000;;;;;;;;;;;
2183;;140.400.000;;;;;;;;;;;
2185;;140.760.000;;;;;;;;;;;
2187;;141.120.000;;;;;;;;;;;
2189;;141.480.000;;;;;;;;;;;
2191;;141.840.000;;;;;;;;;;;
2193;;142.200.000;;;;;;;;;;;
2195;;142.560.000;;;;;;;;;;;
2197;;142.920.000;;;;;;;;;;;
2199;;143.280.000;;;;;;;;;;;
2201;;143.640.000;;;;;;;;;;;
2203;;144.000.000;;;;;;;;;;;
2205;;144.360.000;;;;;;;;;;;
2207;;144.720.000;;;;;;;;;;;
2209;;145.080.000;;;;;;;;;;;
2211;;145.440.000;;;;;;;;;;;
2213;;145.800.000;;;;;;;;;;;
2215;;146.160.000;;;;;;;;;;;
2217;;146.520.000;;;;;;;;;;;
2219;;146.880.000;;;;;;;;;;;
2221;;147.240.000;;;;;;;;;;;
2223;;147.600.000;;;;;;;;;;;
2225;;147.960.000;;;;;;;;;;;
2227;;148.320.000;;;;;;;;;;;
2229;;148.680.000;;;;;;;;;;;
2231;;149.040.000;;;;;;;;;;;
2233;;149.400.000;;;;;;;;;;;
2235;;149.760.000;;;;;;;;;;;
2237;;150.120.000;;;;;;;;;;;
2239;;150.480.000;;;;;;;;;;;
2241;;150.840.000;;;;;;;;;;;
2243;;151.200.000;;;;;;;;;;;
2245;;151.560.000;;;;;;;;;;;
2247;;151.920.000;;;;;;;;;;;
2249;;152.280.000;;;;;;;;;;;
2251;;152.640.000;;;;;;;;;;;
2253;;153.000.000;;;;;;;;;;;
2255;;153.360.000;;;;;;;;;;;
2257;;153.720.000;;;;;;;;;;;
2259;;154.080.000;;;;;;;;;;;
2261;;154.440.000;;;;;;;;;;;
2263;;154.800.000;;;;;;;;;;;
2265;;155.160.000;;;;;;;;;;;
2267;;155.520.000;;;;;;;;;;;
2269;;155.880.000;;;;;;;;;;;
2271;;156.240.000;;;;;;;;;;;
2273;;156.600.000;;;;;;;;;;;
2275;;156.960.000;;;;;;;;;;;
2277;;157.320.000;;;;;;;;;;;
2279;;157.680.000;;;;;;;;;;;
2281;;158.040.000;;;;;;;;;;;
2283;;158.400.000;;;;;;;;;;;
2285;;158.760.000;;;;;;;;;;;
2287;;159.120.000;;;;;;;;;;;
2289;;159.480.000;;;;;;;;;;;
2291;;159.840.000;;;;;;;;;;;
2293;;160.200.000;;;;;;;;;;;
2295;;160.560.000;;;;;;;;;;;
2297;;160.920.000;;;;;;;;;;;
2299;;161.280.000;;;;;;;;;;;
2301;;161.640.000;;;;;;;;;;;
2303;;162.000.000;;;;;;;;;;;
2305;;162.360.000;;;;;;;;;;;
2307;;162.720.000;;;;;;;;;;;
2309;;163.080.000;;;;;;;;;;;
2311;;163.440.000;;;;;;;;;;;
2313;;163.800.000;;;;;;;;;;;
2315;;164.160.000;;;;;;;;;;;
2317;;164.520.000;;;;;;;;;;;
2319;;164.880.000;;;;;;;;;;;
2321;;165.240.000;;;;;;;;;;;
2323;;165.600.000;;;;;;;;;;;
2325;;165.960.000;;;;;;;;;;;
2327;;166.320.000;;;;;;;;;;;
2329;;166.680.000;;;;;;;;;;;
2331;;167.040.000;;;;;;;;;;;
2333;;167.400.000;;;;;;;;;;;
2335;;167.760.000;;;;;;;;;;;
2337;;168.120.000;;;;;;;;;;;
2339;;168.480.000;;;;;;;;;;;
2341;;168.840.000;;;;;;;;;;;
2343;;169.200.000;;;;;;;;;;;
2345;;169.560.000;;;;;;;;;;;
2347;;169.920.000;;;;;;;;;;;
2349;;170.280.000;;;;;;;;;;;
2351;;170.640.000;;;;;;;;;;;
2353;;171.000.000;;;;;;;;;;;
